Title,Year,Rating
Rhapsody in August,1991,7.2
Ran,1985,8.2
Kagemusha: The Shadow Warrior,1980,7.9
Dersu Uzala,1975,8.2
Dodes'ka-den,1970,7.3
Song of the Horse,1970,5.9
Red Beard,1965,8.3
High and Low,1963,8.4
Sanjuro,1962,8.0
Yojimbo,1961,8.2
The Bad Sleep Well,1960,8.0
The Hidden Fortress,1958,8.1
The Lower Depths,1957,7.2
Throne of Blood,1957,8.0
I Live in Fear,1955,7.3
Seven Samurai,1954,8.6
Ikiru,1952,8.3
The Idiot,1951,7.2
Rashomon,1950,8.2
Scandal,1950,7.2
Stray Dog,1949,7.8
The Quiet Duel,1949,7.4
Drunken Angel,1948,7.6
One Wonderful Sunday,1947,7.2
No Regrets for Our Youth,1946,7.1
"Sanshiro Sugata, Part Two",1945,6.0
The Most Beautiful,1944,5.6
Sanshiro Sugata,1943,6.7
